timestamp,tcp_established,tcp_syn_recv,tcp_time_wait,tcp_listen
1774507850,0,0,0,0
1774507851,0,0,0,0
1774507852,0,0,0,0
1774507853,0,0,0,0
1774507854,0,0,0,0
1774507855,0,0,0,0
1774507856,0,0,0,0
1774507857,0,0,0,0
1774507858,0,0,0,0
1774507859,0,0,0,0
1774507860,0,0,0,0
1774507861,0,0,0,0
1774507862,0,0,0,0
1774507863,0,0,0,0
1774507864,0,0,0,0
1774507865,0,0,0,0
1774507866,0,0,0,0
1774507867,0,0,0,0
1774507868,0,0,0,0
1774507869,0,0,0,0
1774507870,0,0,0,0
1774507871,0,0,0,0
1774507872,0,0,0,0
1774507873,0,0,0,0
1774507874,0,0,0,0
1774507875,0,0,0,0
1774507876,0,0,0,0
1774507877,0,0,0,0
1774507878,0,0,0,0
1774507879,0,0,0,0
1774507880,0,0,0,0
1774507881,0,0,0,0
1774507882,0,0,0,0
1774507883,0,0,0,0
1774507884,0,0,0,0
1774507885,0,0,0,0
1774507886,0,0,0,0
1774507887,0,0,0,0
1774507888,0,0,0,0
1774507889,0,0,0,0
1774507891,0,0,0,0
1774507892,0,0,0,0
1774507893,0,0,0,0
1774507894,0,0,0,0
1774507895,0,0,0,0
1774507896,0,0,0,0
1774507897,0,0,0,0
1774507898,0,0,0,0
1774507899,0,0,0,0
1774507900,0,0,0,0
1774507901,0,0,0,0
1774507902,0,0,0,0
1774507903,0,0,0,0
1774507904,0,0,0,0
1774507905,0,0,0,0
1774507906,0,0,0,0
1774507907,0,0,0,0
1774507908,0,0,0,0
1774507909,0,0,0,0
1774507910,0,0,0,0
1774507911,0,0,0,0
1774507912,0,0,0,0
1774507913,0,0,0,0
1774507914,0,0,0,0
1774507915,0,0,0,0
1774507916,0,0,0,0
1774507917,0,0,0,0
1774507918,0,0,0,0
1774507919,0,0,0,0
1774507920,0,0,0,0
1774507921,0,0,0,0
1774507922,0,0,0,0
1774507924,0,0,0,0
1774507925,0,0,0,0
1774507926,0,0,0,0
1774507927,0,0,0,0
1774507928,0,0,0,0
1774507929,0,0,0,0
1774507930,0,0,0,0
1774507931,0,0,0,0
1774507932,0,0,0,0
1774507933,0,0,0,0
1774507934,0,0,0,0
1774507935,0,0,0,0
1774507936,0,0,0,0
1774507937,0,0,0,0
1774507938,0,0,0,0
1774507939,0,0,0,0
1774507940,0,0,0,0
1774507941,0,0,0,0
1774507942,0,0,0,0
1774507943,0,0,0,0
1774507944,0,0,0,0
1774507945,0,0,0,0
1774507946,0,0,0,0
1774507947,0,0,0,0
1774507948,0,0,0,0
1774507949,0,0,0,0
1774507950,0,0,0,0
1774507951,0,0,0,0
1774507952,0,0,0,0
1774507953,0,0,0,0
1774507954,0,0,0,0
1774507955,0,0,0,0
1774507956,0,0,0,0
1774507957,0,0,0,0
1774507958,0,0,0,0
1774507959,0,0,0,0
1774507960,0,0,0,0
1774507961,0,0,0,0
1774507962,0,0,0,0
1774507963,0,0,0,0
