timestamp,disk_used_percent,disk_available_gb,disk_total_gb
1773818870,4,59,61
1773818871,4,59,61
1773818872,4,59,61
1773818873,4,59,61
1773818874,4,59,61
1773818875,4,59,61
1773818876,4,59,61
1773818877,4,59,61
1773818878,4,59,61
1773818879,4,59,61
1773818880,4,59,61
1773818881,4,59,61
1773818882,4,59,61
1773818883,4,59,61
1773818884,4,59,61
1773818885,4,59,61
1773818886,4,59,61
1773818887,4,59,61
1773818888,4,59,61
1773818889,4,59,61
1773818890,4,59,61
1773818891,4,59,61
1773818892,4,59,61
1773818893,4,59,61
1773818894,4,59,61
1773818895,4,59,61
1773818896,4,59,61
1773818897,4,59,61
1773818898,4,59,61
1773818899,4,59,61
1773818900,4,59,61
1773818901,4,59,61
1773818902,4,59,61
1773818903,4,59,61
1773818904,4,59,61
1773818905,4,59,61
1773818906,4,59,61
1773818907,4,59,61
1773818908,4,59,61
1773818909,4,59,61
1773818910,4,59,61
1773818911,4,59,61
1773818912,4,59,61
1773818913,4,59,61
1773818914,4,59,61
1773818915,4,59,61
1773818916,4,59,61
1773818917,4,59,61
1773818918,4,59,61
1773818919,4,59,61
1773818920,4,59,61
1773818921,4,59,61
1773818922,4,59,61
1773818923,4,59,61
1773818924,4,59,61
1773818925,4,59,61
1773818926,4,59,61
1773818927,4,59,61
1773818928,4,59,61
1773818929,4,59,61
1773818930,4,59,61
1773818931,4,59,61
1773818932,4,59,61
1773818933,4,59,61
1773818934,4,59,61
1773818935,4,59,61
1773818936,4,59,61
1773818937,4,59,61
1773818938,4,59,61
1773818939,4,59,61
1773818940,4,59,61
1773818941,4,59,61
1773818942,4,59,61
1773818943,4,59,61
1773818944,4,59,61
1773818945,4,59,61
1773818946,4,59,61
1773818947,4,59,61
1773818948,4,59,61
1773818949,4,59,61
1773818950,4,59,61
1773818951,4,59,61
1773818952,4,59,61
1773818953,4,59,61
1773818954,4,59,61
1773818955,4,59,61
1773818956,4,59,61
1773818957,4,59,61
1773818958,4,59,61
1773818959,4,59,61
1773818960,4,59,61
1773818961,4,59,61
1773818962,4,59,61
1773818963,4,59,61
1773818964,4,59,61
1773818965,4,59,61
1773818966,4,59,61
1773818967,4,59,61
1773818968,4,59,61
1773818969,4,59,61
1773818970,4,59,61
1773818971,4,59,61
1773818972,4,59,61
1773818973,4,59,61
1773818974,4,59,61
1773818975,4,59,61
1773818976,4,59,61
1773818977,4,59,61
1773818978,4,59,61
1773818979,4,59,61
1773818980,4,59,61
1773818981,4,59,61
1773818982,4,59,61
1773818983,4,59,61
1773818985,4,59,61
1773818986,4,59,61
1773818987,4,59,61
1773818988,4,59,61
1773818989,4,59,61
1773818990,4,59,61
1773818991,4,59,61
1773818992,4,59,61
1773818993,4,59,61
1773818994,4,59,61
1773818995,4,59,61
1773818996,4,59,61
1773818997,4,59,61
1773818998,4,59,61
1773818999,4,59,61
1773819000,4,59,61
1773819001,4,59,61
1773819002,4,59,61
1773819003,4,59,61
1773819004,4,59,61
1773819005,4,59,61
1773819006,4,59,61
1773819007,4,59,61
1773819008,4,59,61
1773819009,4,59,61
1773819010,4,59,61
1773819011,4,59,61
1773819012,4,59,61
1773819013,4,59,61
1773819014,4,59,61
1773819015,4,59,61
1773819016,4,59,61
1773819017,4,59,61
1773819018,4,59,61
1773819019,4,59,61
1773819020,4,59,61
1773819021,4,59,61
1773819022,4,59,61
1773819023,4,59,61
1773819024,4,59,61
1773819025,4,59,61
1773819026,4,59,61
1773819027,4,59,61
1773819028,4,59,61
1773819029,4,59,61
1773819030,4,59,61
1773819031,4,59,61
1773819032,4,59,61
1773819033,4,59,61
1773819034,4,59,61
1773819035,4,59,61
1773819036,4,59,61
1773819037,4,59,61
1773819038,4,59,61
1773819039,4,59,61
1773819040,4,59,61
1773819041,4,59,61
1773819042,4,59,61
1773819043,4,59,61
1773819044,4,59,61
1773819045,4,59,61
1773819046,4,59,61
1773819047,4,59,61
1773819048,4,59,61
1773819049,4,59,61
1773819050,4,59,61
1773819051,4,59,61
1773819052,4,59,61
1773819053,4,59,61
1773819054,4,59,61
1773819055,4,59,61
1773819056,4,59,61
1773819057,4,59,61
1773819058,4,59,61
1773819059,4,59,61
1773819060,4,59,61
1773819061,4,59,61
1773819062,4,59,61
1773819063,4,59,61
1773819064,4,59,61
1773819065,4,59,61
1773819066,4,59,61
1773819067,4,59,61
1773819068,4,59,61
1773819069,4,59,61
1773819070,4,59,61
1773819071,4,59,61
1773819072,4,59,61
1773819073,4,59,61
1773819074,4,59,61
1773819075,4,59,61
1773819076,4,59,61
1773819077,4,59,61
1773819078,4,59,61
1773819079,4,59,61
1773819080,4,59,61
1773819081,4,59,61
1773819082,4,59,61
1773819083,4,59,61
1773819084,4,59,61
1773819085,4,59,61
