timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774591306,8.61,8.10,21.77,61.52
1774591307,1.25,1.75,0.00,96.99
1774591308,1.50,1.75,0.00,96.74
1774591309,3.78,4.28,0.00,73.30
1774591310,17.75,4.25,0.00,74.00
1774591311,16.41,9.60,1.26,72.73
1774591312,8.82,6.30,0.25,73.05
1774591313,10.25,4.50,0.25,73.00
1774591314,18.59,7.79,1.01,72.36
1774591315,8.04,10.05,11.56,69.60
1774591316,2.76,4.51,20.80,71.93
1774591317,6.47,10.70,12.44,69.65
1774591318,16.67,9.34,10.35,63.38
1774591319,20.00,8.61,0.76,70.38
1774591320,19.65,6.55,1.76,72.04
1774591321,13.35,6.30,7.05,72.80
1774591322,6.58,15.19,5.32,72.66
1774591323,8.77,20.05,1.75,68.92
1774591324,6.89,20.15,1.79,71.17
1774591325,9.09,15.40,3.54,71.97
1774591326,18.34,14.82,4.02,62.81
1774591327,7.77,6.77,0.50,84.96
1774591328,1.25,1.75,0.00,96.99
1774591329,3.76,3.26,0.00,81.70
1774591330,9.52,4.51,0.00,74.19
1774591331,18.75,7.25,4.00,70.00
1774591332,13.53,9.77,5.51,70.43
1774591333,16.79,7.52,2.76,72.93
1774591334,20.20,12.63,0.51,66.41
1774591335,1.51,2.77,0.50,95.21
1774591336,1.25,2.26,0.00,96.49
1774591337,4.76,5.26,0.25,75.69
1774591338,14.57,3.77,0.00,73.37
1774591339,15.37,9.82,1.76,72.80
1774591340,9.95,6.22,0.50,71.39
1774591341,9.73,3.74,0.00,74.81
1774591342,18.23,6.84,2.03,72.91
1774591343,1.27,4.30,21.77,72.66
1774591344,1.25,3.24,24.94,70.57
1774591345,1.25,3.99,22.19,72.32
1774591346,1.77,4.05,24.81,69.37
1774591347,1.25,3.51,23.56,71.68
1774591348,0.76,3.30,22.34,73.60
1774591349,0.76,2.28,25.89,70.81
1774591350,1.27,3.04,28.35,67.34
1774591351,1.75,4.24,21.95,72.07
1774591352,0.76,3.54,24.56,70.89
