worker_id,job_id,status_code,latency_ms,error,response_body
6,8,200,516,,"{""trajectory_result"":0.0,""latency_sec"":0.501704216003418}"
2,14,200,685,,"{""trajectory_result"":0.0,""latency_sec"":0.6790435314178467}"
3,17,200,2087,,"{""trajectory_result"":0.0,""latency_sec"":1.979677677154541}"
2,21,200,2338,,"{""trajectory_result"":0,""latency_sec"":2.3336784839630127}"
2,23,200,591,,"{""trajectory_result"":[],""latency_sec"":0.5864694118499756}"
0,12,200,4206,,"{""trajectory_result"":[],""latency_sec"":4.148623704910278}"
2,24,200,1007,,"{""trajectory_result"":0,""latency_sec"":1.0028295516967773}"
5,5,200,4955,,"{""trajectory_result"":[],""latency_sec"":4.939846038818359}"
16,4,200,5330,,"{""trajectory_result"":[],""latency_sec"":5.313361644744873}"
13,16,200,5426,,"{""trajectory_result"":0.0,""latency_sec"":5.407501935958862}"
12,15,200,5564,,"{""trajectory_result"":0.0,""latency_sec"":5.526700496673584}"
2,26,200,1717,,"{""trajectory_result"":[],""latency_sec"":1.711987018585205}"
9,0,200,6638,,"{""trajectory_result"":0.0,""latency_sec"":6.622073173522949}"
2,31,200,323,,"{""trajectory_result"":0,""latency_sec"":0.32035136222839355}"
2,33,200,734,,"{""trajectory_result"":0.0,""latency_sec"":0.7303764820098877}"
15,2,200,7828,,"{""trajectory_result"":0.0,""latency_sec"":7.820082902908325}"
1,13,200,8326,,"{""trajectory_result"":0.0,""latency_sec"":8.299089431762695}"
10,6,200,8425,,"{""trajectory_result"":0,""latency_sec"":8.29139757156372}"
14,1,200,9071,,"{""trajectory_result"":0.0,""latency_sec"":9.048941135406494}"
8,11,200,9493,,"{""trajectory_result"":0.0,""latency_sec"":9.471559286117554}"
18,18,200,11107,,"{""trajectory_result"":[],""latency_sec"":11.077023983001709}"
19,19,200,12124,,"{""trajectory_result"":0,""latency_sec"":12.089252710342407}"
15,35,200,11353,,"{""trajectory_result"":1.140553001709248,""latency_sec"":11.209580183029175}"
