timestamp,tcp_established,tcp_syn_recv,tcp_time_wait,tcp_listen
1773818871,0,0,0,0
1773818872,0,0,0,0
1773818873,0,0,0,0
1773818874,0,0,0,0
1773818875,0,0,0,0
1773818876,0,0,0,0
1773818877,0,0,0,0
1773818878,0,0,0,0
1773818879,0,0,0,0
1773818880,0,0,0,0
1773818881,0,0,0,0
1773818882,0,0,0,0
1773818883,0,0,0,0
1773818885,0,0,0,0
1773818886,0,0,0,0
1773818887,0,0,0,0
1773818888,0,0,0,0
1773818889,0,0,0,0
1773818890,0,0,0,0
1773818891,0,0,0,0
1773818892,0,0,0,0
1773818893,0,0,0,0
1773818894,0,0,0,0
1773818895,0,0,0,0
1773818896,0,0,0,0
1773818897,0,0,0,0
1773818898,0,0,0,0
1773818899,0,0,0,0
1773818900,0,0,0,0
1773818901,0,0,0,0
1773818902,0,0,0,0
1773818903,0,0,0,0
1773818904,0,0,0,0
1773818905,0,0,0,0
1773818906,0,0,0,0
1773818907,0,0,0,0
1773818908,0,0,0,0
1773818909,0,0,0,0
1773818910,0,0,0,0
1773818911,0,0,0,0
1773818912,0,0,0,0
1773818913,0,0,0,0
1773818914,0,0,0,0
1773818915,0,0,0,0
1773818916,0,0,0,0
1773818917,0,0,0,0
1773818918,0,0,0,0
1773818919,0,0,0,0
1773818920,0,0,0,0
1773818921,0,0,0,0
1773818922,0,0,0,0
1773818923,0,0,0,0
1773818924,0,0,0,0
1773818925,0,0,0,0
1773818926,0,0,0,0
1773818927,0,0,0,0
1773818928,0,0,0,0
1773818929,0,0,0,0
1773818930,0,0,0,0
1773818931,0,0,0,0
1773818932,0,0,0,0
1773818933,0,0,0,0
1773818934,0,0,0,0
1773818935,0,0,0,0
1773818936,0,0,0,0
1773818937,0,0,0,0
1773818938,0,0,0,0
1773818939,0,0,0,0
1773818940,0,0,0,0
1773818941,0,0,0,0
1773818942,0,0,0,0
1773818943,0,0,0,0
1773818944,0,0,0,0
1773818945,0,0,0,0
1773818946,0,0,0,0
1773818947,0,0,0,0
1773818948,0,0,0,0
1773818949,0,0,0,0
1773818950,0,0,0,0
1773818951,0,0,0,0
1773818952,0,0,0,0
1773818953,0,0,0,0
1773818954,0,0,0,0
1773818955,0,0,0,0
1773818956,0,0,0,0
1773818957,0,0,0,0
1773818958,0,0,0,0
1773818959,0,0,0,0
1773818960,0,0,0,0
1773818962,0,0,0,0
1773818963,0,0,0,0
1773818964,0,0,0,0
1773818965,0,0,0,0
1773818966,0,0,0,0
1773818967,0,0,0,0
1773818968,0,0,0,0
1773818969,0,0,0,0
1773818970,0,0,0,0
1773818971,0,0,0,0
1773818972,0,0,0,0
1773818973,0,0,0,0
1773818974,0,0,0,0
1773818975,0,0,0,0
1773818976,0,0,0,0
1773818977,0,0,0,0
1773818978,0,0,0,0
1773818979,0,0,0,0
1773818980,0,0,0,0
1773818981,0,0,0,0
1773818982,0,0,0,0
1773818983,0,0,0,0
1773818984,0,0,0,0
1773818985,0,0,0,0
1773818986,0,0,0,0
1773818987,0,0,0,0
1773818988,0,0,0,0
1773818989,0,0,0,0
1773818990,0,0,0,0
1773818991,0,0,0,0
1773818992,0,0,0,0
1773818993,0,0,0,0
1773818994,0,0,0,0
1773818995,0,0,0,0
1773818996,0,0,0,0
1773818997,0,0,0,0
1773818998,0,0,0,0
1773818999,0,0,0,0
1773819000,0,0,0,0
1773819001,0,0,0,0
1773819002,0,0,0,0
1773819003,0,0,0,0
1773819004,0,0,0,0
1773819005,0,0,0,0
1773819006,0,0,0,0
1773819007,0,0,0,0
1773819008,0,0,0,0
1773819009,0,0,0,0
1773819010,0,0,0,0
1773819011,0,0,0,0
1773819012,0,0,0,0
1773819013,0,0,0,0
1773819014,0,0,0,0
1773819015,0,0,0,0
1773819016,0,0,0,0
1773819017,0,0,0,0
1773819018,0,0,0,0
1773819019,0,0,0,0
1773819020,0,0,0,0
1773819021,0,0,0,0
1773819022,0,0,0,0
1773819023,0,0,0,0
1773819024,0,0,0,0
1773819025,0,0,0,0
1773819026,0,0,0,0
1773819027,0,0,0,0
1773819028,0,0,0,0
1773819029,0,0,0,0
1773819030,0,0,0,0
1773819031,0,0,0,0
1773819032,0,0,0,0
1773819033,0,0,0,0
1773819034,0,0,0,0
1773819035,0,0,0,0
1773819036,0,0,0,0
1773819037,0,0,0,0
1773819038,0,0,0,0
1773819039,0,0,0,0
1773819040,0,0,0,0
1773819041,0,0,0,0
1773819042,0,0,0,0
1773819043,0,0,0,0
1773819044,0,0,0,0
1773819045,0,0,0,0
1773819047,0,0,0,0
1773819048,0,0,0,0
1773819049,0,0,0,0
1773819050,0,0,0,0
1773819051,0,0,0,0
1773819052,0,0,0,0
1773819053,0,0,0,0
1773819054,0,0,0,0
1773819055,0,0,0,0
1773819056,0,0,0,0
1773819057,0,0,0,0
1773819058,0,0,0,0
1773819059,0,0,0,0
1773819060,0,0,0,0
1773819061,0,0,0,0
1773819062,0,0,0,0
1773819063,0,0,0,0
1773819064,0,0,0,0
1773819065,0,0,0,0
1773819066,0,0,0,0
1773819067,0,0,0,0
1773819068,0,0,0,0
1773819069,0,0,0,0
1773819070,0,0,0,0
1773819071,0,0,0,0
1773819072,0,0,0,0
1773819073,0,0,0,0
1773819074,0,0,0,0
1773819075,0,0,0,0
1773819076,0,0,0,0
1773819077,0,0,0,0
1773819078,0,0,0,0
1773819079,0,0,0,0
1773819080,0,0,0,0
1773819081,0,0,0,0
1773819082,0,0,0,0
1773819083,0,0,0,0
1773819084,0,0,0,0
1773819085,0,0,0,0
1773819086,0,0,0,0
1773819087,0,0,0,0
1773819088,0,0,0,0
1773819089,0,0,0,0
1773819090,0,0,0,0
1773819091,0,0,0,0
1773819092,0,0,0,0
1773819093,0,0,0,0
1773819094,0,0,0,0
1773819095,0,0,0,0
1773819096,0,0,0,0
1773819097,0,0,0,0
1773819098,0,0,0,0
1773819099,0,0,0,0
1773819100,0,0,0,0
1773819101,0,0,0,0
1773819102,0,0,0,0
1773819103,0,0,0,0
1773819104,0,0,0,0
1773819105,0,0,0,0
1773819106,0,0,0,0
1773819107,0,0,0,0
1773819108,0,0,0,0
1773819109,0,0,0,0
1773819110,0,0,0,0
1773819111,0,0,0,0
1773819112,0,0,0,0
1773819113,0,0,0,0
1773819114,0,0,0,0
1773819115,0,0,0,0
1773819116,0,0,0,0
1773819117,0,0,0,0
1773819118,0,0,0,0
1773819119,0,0,0,0
1773819120,0,0,0,0
1773819121,0,0,0,0
1773819122,0,0,0,0
1773819123,0,0,0,0
1773819124,0,0,0,0
1773819125,0,0,0,0
1773819126,0,0,0,0
1773819127,0,0,0,0
1773819128,0,0,0,0
1773819129,0,0,0,0
1773819130,0,0,0,0
1773819131,0,0,0,0
1773819132,0,0,0,0
1773819133,0,0,0,0
1773819134,0,0,0,0
1773819135,0,0,0,0
1773819137,0,0,0,0
1773819138,0,0,0,0
1773819139,0,0,0,0
1773819140,0,0,0,0
1773819141,0,0,0,0
1773819142,0,0,0,0
1773819143,0,0,0,0
1773819144,0,0,0,0
1773819145,0,0,0,0
1773819146,0,0,0,0
1773819147,0,0,0,0
1773819148,0,0,0,0
1773819149,0,0,0,0
1773819150,0,0,0,0
1773819151,0,0,0,0
1773819152,0,0,0,0
1773819153,0,0,0,0
1773819154,0,0,0,0
1773819155,0,0,0,0
1773819156,0,0,0,0
1773819157,0,0,0,0
1773819158,0,0,0,0
1773819159,0,0,0,0
1773819160,0,0,0,0
1773819161,0,0,0,0
1773819162,0,0,0,0
1773819163,0,0,0,0
1773819164,0,0,0,0
1773819165,0,0,0,0
1773819166,0,0,0,0
1773819167,0,0,0,0
1773819168,0,0,0,0
1773819169,0,0,0,0
1773819170,0,0,0,0
1773819171,0,0,0,0
1773819172,0,0,0,0
1773819173,0,0,0,0
1773819174,0,0,0,0
1773819175,0,0,0,0
1773819176,0,0,0,0
1773819177,0,0,0,0
1773819178,0,0,0,0
1773819179,0,0,0,0
1773819180,0,0,0,0
1773819181,0,0,0,0
1773819182,0,0,0,0
1773819183,0,0,0,0
1773819184,0,0,0,0
1773819185,0,0,0,0
1773819186,0,0,0,0
1773819187,0,0,0,0
1773819188,0,0,0,0
1773819189,0,0,0,0
1773819190,0,0,0,0
1773819191,0,0,0,0
1773819192,0,0,0,0
1773819193,0,0,0,0
1773819194,0,0,0,0
1773819195,0,0,0,0
1773819196,0,0,0,0
1773819197,0,0,0,0
1773819198,0,0,0,0
1773819199,0,0,0,0
1773819200,0,0,0,0
1773819201,0,0,0,0
1773819202,0,0,0,0
1773819203,0,0,0,0
1773819204,0,0,0,0
1773819205,0,0,0,0
1773819206,0,0,0,0
1773819207,0,0,0,0
1773819208,0,0,0,0
1773819209,0,0,0,0
1773819210,0,0,0,0
1773819211,0,0,0,0
1773819212,0,0,0,0
1773819213,0,0,0,0
1773819214,0,0,0,0
1773819215,0,0,0,0
1773819216,0,0,0,0
1773819217,0,0,0,0
1773819218,0,0,0,0
1773819219,0,0,0,0
1773819221,0,0,0,0
1773819222,0,0,0,0
1773819223,0,0,0,0
1773819224,0,0,0,0
1773819225,0,0,0,0
1773819226,0,0,0,0
1773819227,0,0,0,0
1773819228,0,0,0,0
1773819229,0,0,0,0
1773819230,0,0,0,0
1773819231,0,0,0,0
1773819232,0,0,0,0
1773819233,0,0,0,0
1773819234,0,0,0,0
1773819235,0,0,0,0
1773819236,0,0,0,0
1773819237,0,0,0,0
1773819238,0,0,0,0
1773819239,0,0,0,0
1773819240,0,0,0,0
1773819241,0,0,0,0
1773819242,0,0,0,0
1773819243,0,0,0,0
1773819244,0,0,0,0
1773819245,0,0,0,0
1773819246,0,0,0,0
1773819247,0,0,0,0
1773819248,0,0,0,0
1773819249,0,0,0,0
1773819250,0,0,0,0
