timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774592506,0.50,1.01,0.00,98.49
1774592507,0.50,1.00,0.00,98.51
1774592508,0.00,1.01,0.00,98.99
1774592509,0.99,0.99,0.00,98.02
1774592510,0.00,1.01,0.00,98.99
1774592511,0.50,1.50,0.00,98.00
1774592512,0.50,1.50,0.00,98.00
1774592513,0.00,1.49,0.00,98.51
1774592514,0.50,1.01,0.00,98.49
1774592515,0.00,1.00,0.00,99.00
1774592516,0.00,1.01,0.00,98.99
1774592517,0.00,1.50,0.00,98.50
1774592518,0.00,1.00,0.00,99.00
1774592519,0.00,1.01,0.00,98.99
1774592520,1.00,1.50,0.00,97.50
1774592521,0.50,1.00,0.00,98.50
1774592522,0.50,1.01,0.00,98.49
1774592523,0.00,1.01,0.00,98.99
1774592524,0.50,1.49,0.00,98.01
1774592525,0.50,1.01,0.00,98.49
1774592526,0.50,1.49,0.00,98.01
1774592527,0.50,1.00,0.00,98.50
1774592528,0.00,1.01,0.00,98.99
1774592529,0.00,1.01,0.00,98.99
1774592530,0.50,1.49,0.00,98.01
1774592531,0.00,1.00,0.00,98.50
1774592532,0.00,0.51,0.00,99.49
1774592533,0.50,1.00,0.00,98.01
1774592534,0.00,1.00,0.00,99.00
1774592535,0.50,1.00,0.00,98.50
1774592536,0.00,1.50,0.50,98.00
1774592537,0.50,1.00,0.00,98.51
1774592538,0.50,1.00,0.00,98.51
1774592539,0.00,1.01,0.00,98.99
1774592540,0.50,1.00,0.00,98.51
1774592541,0.50,1.00,0.00,98.50
1774592542,0.50,1.49,0.00,98.02
1774592543,0.00,1.01,0.00,98.99
1774592544,0.99,1.48,0.00,97.54
1774592545,0.00,1.01,0.00,98.99
1774592546,0.50,1.00,0.00,98.50
1774592547,0.50,1.00,0.00,98.51
1774592548,0.00,1.01,0.00,98.99
1774592549,0.50,1.00,0.00,98.51
1774592550,0.50,1.00,0.00,98.50
1774592551,0.50,0.50,0.00,98.99
1774592552,0.00,1.01,0.00,98.99
1774592553,0.50,1.00,0.00,98.50
1774592554,0.50,1.00,0.00,98.51
1774592555,0.50,1.01,0.00,98.49
1774592556,0.50,1.00,0.00,98.51
1774592557,0.50,1.50,0.00,98.00
1774592558,0.00,1.00,0.00,99.00
1774592559,0.50,0.50,0.00,98.49
1774592560,0.00,1.00,0.00,99.00
1774592561,0.50,1.00,0.00,98.50
1774592562,0.50,1.00,0.00,98.50
