timestamp,cpu_user,cpu_system,cpu_iowait,cpu_idle
1774593253,10.83,9.57,0.76,78.84
1774593254,48.37,7.27,0.00,43.61
1774593255,64.43,3.23,0.25,31.34
1774593256,50.75,2.26,0.00,46.73
1774593257,59.25,2.25,0.00,38.50
1774593258,43.47,4.52,0.00,52.01
1774593259,79.90,3.02,0.00,17.09
1774593260,76.38,3.27,0.00,19.85
1774593261,54.98,2.24,0.00,42.54
1774593262,24.44,2.99,0.00,72.32
1774593263,33.00,2.25,0.00,64.75
1774593264,40.40,1.77,0.00,57.83
1774593265,42.04,3.73,2.74,51.24
1774593266,23.69,2.24,0.00,73.82
1774593267,24.63,1.74,0.00,73.63
1774593268,23.93,1.76,0.00,74.31
1774593269,67.59,2.26,0.00,30.15
1774593270,82.12,2.02,0.00,15.87
1774593271,65.09,2.99,0.00,30.92
1774593272,78.50,1.75,0.00,19.50
1774593273,80.40,1.76,0.00,17.09
1774593274,54.86,1.50,0.00,43.39
1774593275,27.14,3.27,0.25,60.55
1774593276,31.33,4.26,0.00,48.37
1774593277,20.65,5.29,0.50,73.55
1774593278,2.51,5.26,27.82,64.41
1774593279,1.26,1.77,26.01,70.96
1774593280,2.02,2.52,22.92,72.54
1774593281,0.75,2.50,30.00,66.75
1774593282,2.26,6.27,18.05,73.18
1774593283,14.29,6.02,6.77,72.93
1774593284,9.75,6.25,0.25,73.50
1774593285,7.71,2.99,0.00,75.37
1774593286,17.84,6.53,2.26,73.37
1774593287,4.77,8.54,13.57,72.36
1774593288,19.30,5.01,1.75,73.93
1774593289,19.55,5.51,1.75,73.18
1774593290,8.25,4.75,0.25,73.75
1774593291,10.28,3.01,0.00,75.69
1774593292,15.54,6.52,4.76,72.93
1774593293,1.00,2.76,22.81,73.43
1774593294,0.50,1.01,44.72,53.77
1774593295,19.10,4.52,2.76,73.37
1774593296,14.71,8.73,2.00,72.82
1774593297,0.75,2.26,0.00,74.12
1774593298,20.20,3.24,0.00,76.06
1774593299,16.04,9.27,2.01,72.68
1774593300,4.50,3.50,0.25,73.00
1774593301,15.33,3.02,0.00,75.88
1774593302,21.11,8.04,0.50,70.10
1774593303,0.25,1.00,42.36,56.39
1774593304,7.96,3.73,28.36,59.45
1774593305,21.30,6.52,0.25,71.18
1774593306,20.76,17.47,1.77,60.00
1774593307,17.79,9.27,2.26,70.68
1774593308,2.01,2.01,0.00,73.68
1774593309,19.40,4.03,0.00,75.31
1774593310,15.83,8.04,4.02,71.61
1774593311,17.71,6.98,2.00,73.07
1774593312,5.78,3.52,0.25,73.87
1774593313,9.80,2.26,0.00,76.13
1774593314,19.00,6.00,1.50,73.50
1774593315,13.42,10.38,4.56,71.39
1774593316,16.50,6.50,3.50,73.50
1774593317,19.75,13.50,0.50,66.00
1774593318,0.75,1.26,0.50,97.24
1774593319,0.50,1.25,0.00,98.25
1774593320,3.00,3.25,0.00,76.25
1774593321,16.04,2.76,0.00,74.69
1774593322,15.29,9.52,3.51,71.18
1774593323,21.11,8.54,0.25,69.60
1774593324,15.25,8.25,2.25,74.00
1774593325,3.99,3.74,0.25,73.07
1774593326,22.19,3.24,0.00,64.34
1774593327,15.83,7.54,3.52,72.86
1774593328,17.38,10.33,1.51,70.53
1774593329,19.85,4.27,2.26,73.37
1774593330,10.80,7.79,0.75,73.87
1774593331,2.99,2.74,0.00,74.56
1774593332,21.36,5.03,0.25,73.37
1774593333,16.04,9.02,1.50,72.68
1774593334,0.50,2.51,0.00,73.43
1774593335,21.20,2.99,0.00,75.56
1774593336,15.37,6.55,5.04,72.80
1774593337,11.34,7.56,0.50,73.55
1774593338,4.79,2.52,0.00,75.31
1774593339,19.80,5.51,1.50,73.18
1774593340,18.09,6.03,4.27,71.36
1774593341,9.23,5.24,0.25,73.57
1774593342,9.00,2.50,0.00,76.00
1774593343,21.41,4.03,0.00,74.56
1774593344,9.64,7.61,9.14,73.60
1774593345,8.82,4.53,13.10,73.05
1774593346,21.86,4.02,0.00,74.12
1774593347,16.62,7.81,2.52,73.05
1774593348,8.50,5.00,0.00,73.25
1774593349,11.00,3.00,0.00,74.25
1774593350,14.90,9.09,3.03,72.98
1774593351,7.85,18.23,1.01,72.91
1774593352,7.61,21.57,0.25,70.30
1774593353,9.32,18.14,0.76,71.79
1774593354,17.26,14.21,3.30,64.97
1774593355,2.01,1.26,0.00,73.87
1774593356,19.05,4.51,0.00,75.19
1774593357,16.96,7.34,3.80,71.90
1774593358,9.98,5.99,0.00,73.57
1774593359,7.77,2.76,0.25,74.69
1774593360,19.25,6.25,1.50,73.00
1774593361,4.47,7.94,15.63,71.46
1774593362,11.75,4.00,10.75,73.25
1774593363,23.75,2.25,0.25,73.75
1774593364,18.94,4.55,2.78,73.48
1774593365,10.13,6.08,0.00,74.68
1774593366,8.00,2.75,0.00,74.25
1774593367,17.63,6.55,2.02,73.80
1774593368,17.63,14.61,1.01,66.50
1774593369,10.47,5.24,0.00,84.04
1774593370,66.25,4.53,0.00,29.22
1774593371,56.00,2.25,0.00,41.75
1774593372,63.00,2.00,0.00,35.00
1774593374,40.70,2.76,0.00,56.53
1774593375,50.75,3.27,0.00,45.73
1774593376,75.94,4.01,0.00,19.55
1774593377,77.81,2.24,0.00,19.95
1774593378,28.75,2.75,0.00,68.50
1774593379,23.81,2.76,0.00,73.43
1774593380,43.72,2.01,0.00,54.02
1774593381,38.04,2.77,0.00,59.19
1774593382,35.84,2.76,0.00,61.15
1774593383,23.69,2.49,0.00,73.82
1774593384,23.75,2.50,0.00,73.75
1774593385,41.90,2.74,0.00,55.11
1774593386,75.75,2.25,0.00,21.75
1774593387,67.76,2.02,0.00,29.97
1774593388,74.31,2.24,0.00,22.69
1774593389,80.80,2.24,0.00,16.96
1774593390,80.45,1.50,0.00,17.79
1774593391,5.49,2.00,0.00,92.52
1774593392,41.35,3.51,0.00,34.34
1774593393,29.60,3.48,0.00,61.44
1774593394,17.62,8.19,1.74,71.71
1774593395,9.07,4.79,0.00,73.80
1774593396,9.30,3.27,0.00,75.38
1774593397,21.86,4.27,0.00,73.87
1774593398,15.08,9.55,2.51,72.61
1774593399,5.81,4.29,0.00,74.24
1774593400,12.94,3.23,0.00,74.88
1774593401,16.12,7.56,3.02,73.05
1774593402,16.08,8.54,2.51,72.86
1774593403,2.51,2.51,0.00,73.43
1774593404,18.84,3.77,0.00,75.38
1774593405,14.61,9.82,1.76,73.55
1774593406,3.01,2.51,0.25,73.68
1774593407,18.39,3.53,0.00,74.31
1774593408,12.85,8.82,4.03,73.80
1774593409,8.75,4.50,0.50,73.25
1774593410,11.31,3.27,0.00,74.87
1774593411,15.79,7.52,4.26,72.43
1774593412,16.08,6.78,3.52,73.37
1774593413,12.59,8.06,0.25,69.52
1774593414,6.45,2.73,0.00,74.94
1774593415,18.34,6.28,1.76,73.62
1774593416,12.72,13.22,0.00,73.57
1774593417,6.75,5.25,0.25,87.75
1774593418,69.67,3.76,0.00,26.32
1774593419,63.41,2.01,0.00,34.59
1774593420,61.10,2.49,0.00,36.16
1774593421,52.51,2.51,0.00,44.97
1774593422,43.14,3.49,0.00,52.62
1774593423,76.20,3.80,0.00,18.99
1774593424,74.25,2.75,0.00,23.00
1774593425,32.33,2.76,0.00,64.91
1774593426,23.31,2.51,0.50,73.18
1774593427,37.22,2.23,0.00,60.30
1774593428,34.50,2.00,0.00,63.25
1774593429,45.36,4.01,0.00,50.63
1774593430,23.94,2.24,0.00,73.57
1774593431,23.81,2.26,0.00,73.93
1774593432,36.78,2.02,0.00,61.21
1774593433,72.50,2.50,0.00,25.00
1774593434,70.15,1.99,0.00,27.61
1774593435,65.99,2.77,0.00,31.23
1774593436,79.50,1.75,0.00,18.50
1774593437,79.60,1.51,0.00,18.64
1774593438,22.81,0.75,0.00,76.44
1774593439,39.14,4.29,0.51,39.14
1774593440,34.25,3.50,0.00,55.00
1774593441,18.69,8.84,3.03,69.19
1774593442,21.05,2.76,2.51,73.43
1774593443,12.47,8.48,3.24,73.32
1774593444,0.76,2.52,0.00,75.82
1774593445,21.80,4.51,0.00,73.43
1774593446,12.56,10.05,2.26,73.12
1774593447,1.00,3.24,0.00,74.06
1774593448,21.05,3.51,0.00,75.44
1774593449,18.50,13.75,2.75,64.25
1774593450,3.52,5.53,0.25,90.45
1774593451,60.80,6.03,0.00,32.66
1774593452,70.68,2.51,0.00,26.82
1774593453,49.00,2.00,0.00,48.75
1774593454,41.79,1.99,0.00,55.97
1774593455,39.29,5.04,0.00,55.42
1774593456,79.90,2.51,0.00,17.59
1774593457,76.13,3.27,0.00,20.60
1774593458,51.13,2.01,0.00,46.87
1774593459,27.02,2.27,0.00,70.71
1774593460,27.57,2.26,0.00,69.92
1774593461,38.85,2.01,0.00,59.15
1774593462,43.61,3.26,0.00,53.13
1774593463,23.68,2.27,0.00,74.06
1774593464,23.68,2.52,0.00,73.80
1774593465,32.17,2.99,0.25,64.59
1774593466,69.35,2.51,0.00,27.89
1774593467,78.75,2.75,0.00,18.25
1774593468,65.66,2.26,0.00,31.83
1774593469,78.89,1.76,0.00,19.10
1774593470,78.14,2.01,0.00,19.85
1774593471,21.36,0.75,0.00,77.89
1774593472,42.17,3.28,1.26,38.13
1774593473,33.42,3.52,0.00,53.77
1774593474,15.29,9.52,1.75,73.18
1774593475,10.33,9.32,0.25,79.85
1774593476,36.48,5.46,0.00,57.82
1774593477,72.15,3.54,0.00,24.30
1774593478,46.13,2.49,0.00,51.37
