worker_id,job_id,status_code,latency_ms,error,response_body
5,0,200,465,,"{""trajectory_result"":0.0,""latency_sec"":0.4486386775970459}"
3,5,200,622,,"{""trajectory_result"":0,""latency_sec"":0.6098015308380127}"
5,12,200,394,,"{""trajectory_result"":[],""latency_sec"":0.3838334083557129}"
1,11,200,909,,"{""trajectory_result"":0.0,""latency_sec"":0.9004716873168945}"
2,3,200,3389,,"{""trajectory_result"":0,""latency_sec"":2.9582669734954834}"
4,9,200,3563,,"{""trajectory_result"":0.0,""latency_sec"":3.3848111629486084}"
7,10,200,3617,,"{""trajectory_result"":0.0,""latency_sec"":3.376570463180542}"
9,2,200,4333,,"{""trajectory_result"":0.0,""latency_sec"":4.285386085510254}"
5,14,200,3853,,"{""trajectory_result"":0.0,""latency_sec"":3.8211445808410645}"
0,7,200,4853,,"{""trajectory_result"":[],""latency_sec"":4.8367860317230225}"
7,18,200,1590,,"{""trajectory_result"":[],""latency_sec"":1.533527135848999}"
8,1,200,6620,,"{""trajectory_result"":0,""latency_sec"":6.494175434112549}"
2,16,200,4885,,"{""trajectory_result"":0.0,""latency_sec"":4.207028865814209}"
10,4,200,9911,,"{""trajectory_result"":0,""latency_sec"":9.903779029846191}"
3,13,200,15217,,"{""trajectory_result"":[],""latency_sec"":15.104188203811646}"
6,6,200,16155,,"[{""trajectory_result"":0.0,""latency_sec"":6.925200700759888},{""trajectory_result"":0.0,""latency_sec"":1.2449259757995605},{""trajectory_result"":0.0,""latency_sec"":10.983243465423584},{""trajectory_result"":0.0,""latency_sec"":3.73281192779541},{""trajectory_result"":0.0,""latency_sec"":3.731691598892212},{""trajectory_result"":0.0,""latency_sec"":4.821190118789673},{""trajectory_result"":0.0,""latency_sec"":1.9902262687683105},{""trajectory_result"":0.0,""latency_sec"":1.7129414081573486},{""trajectory_result"":0.0,""latency_sec"":4.629084825515747},{""trajectory_result"":0.0,""latency_sec"":15.30799913406372},{""trajectory_result"":0.0,""latency_sec"":9.427689790725708},{""trajectory_result"":0.0,""latency_sec"":8.325671672821045},{""trajectory_result"":0.0,""latency_sec"":8.323948860168457},{""trajectory_result"":0.0,""latency_sec"":10.910817384719849},{""trajectory_result"":0.0,""latency_sec"":9.765204429626465},{""trajectory_result"":0.0,""latency_sec"":16.034477949142456},{""trajectory_result"":0.0,""latency_sec"":12.29295039176941},{""trajectory_result"":0.0,""latency_sec"":15.214166641235352},{""trajectory_result"":0.0,""latency_sec"":14.988678455352783},{""trajectory_result"":0.0,""latency_sec"":15.784106731414795}]"
10,25,200,6277,,"{""trajectory_result"":0.0,""latency_sec"":5.981523513793945}"
6,27,200,744,,"{""trajectory_result"":0.0,""latency_sec"":0.7415106296539307}"
10,28,200,2722,,"{""trajectory_result"":0.0,""latency_sec"":2.7113475799560547}"
0,21,200,14776,,"{""trajectory_result"":0.0,""latency_sec"":14.69454288482666}"
3,26,200,4900,,"{""trajectory_result"":0.0,""latency_sec"":4.827396869659424}"
2,24,200,13535,,"{""trajectory_result"":0.0,""latency_sec"":13.302485942840576}"
5,20,200,17874,,"{""trajectory_result"":0.0,""latency_sec"":17.7603280544281}"
5,34,200,1345,,"{""trajectory_result"":[],""latency_sec"":1.3375022411346436}"
4,17,200,20939,,"[{""trajectory_result"":0.0,""latency_sec"":11.109858512878418},{""trajectory_result"":0.0,""latency_sec"":5.788099527359009},{""trajectory_result"":0.01520000022649765,""latency_sec"":3.579404830932617},{""trajectory_result"":0.0,""latency_sec"":12.845045566558838},{""trajectory_result"":0.0,""latency_sec"":8.144423246383667},{""trajectory_result"":-9.0,""latency_sec"":4.878933668136597},{""trajectory_result"":0.0,""latency_sec"":11.568830966949463},{""trajectory_result"":0.0014000000208616256,""latency_sec"":13.108878135681152},{""trajectory_result"":0.0,""latency_sec"":8.457937479019165},{""trajectory_result"":0.0,""latency_sec"":8.55732536315918},{""trajectory_result"":0.0,""latency_sec"":10.148769617080688},{""trajectory_result"":0.0,""latency_sec"":11.183395147323608},{""trajectory_result"":0.0,""latency_sec"":11.680503129959106},{""trajectory_result"":0.0,""latency_sec"":11.084151029586792},{""trajectory_result"":0.0,""latency_sec"":19.910109519958496},{""trajectory_result"":0.0,""latency_sec"":11.81391429901123},{""trajectory_result"":0.0,""latency_sec"":14.26230239868164},{""trajectory_result"":0.0,""latency_sec"":15.926271915435791},{""trajectory_result"":0.0,""latency_sec"":12.999106168746948},{""trajectory_result"":0.0,""latency_sec"":13.654990196228027}]"
2,33,200,3733,,"{""trajectory_result"":[],""latency_sec"":3.6226539611816406}"
3,32,200,5575,,"{""trajectory_result"":0.0,""latency_sec"":5.331326007843018}"
7,22,200,22913,,"{""trajectory_result"":0,""latency_sec"":22.576720714569092}"
6,29,200,15135,,"[{""trajectory_result"":0.0,""latency_sec"":0.37770843505859375},{""trajectory_result"":0.0,""latency_sec"":11.03809928894043},{""trajectory_result"":-8.64,""latency_sec"":4.831464529037476},{""trajectory_result"":0.0,""latency_sec"":8.722169876098633},{""trajectory_result"":0.0,""latency_sec"":5.166390895843506},{""trajectory_result"":0.0,""latency_sec"":5.679514169692993},{""trajectory_result"":0.0,""latency_sec"":7.637633800506592},{""trajectory_result"":0.0,""latency_sec"":2.3224868774414062},{""trajectory_result"":0.0,""latency_sec"":6.014145374298096},{""trajectory_result"":0.0,""latency_sec"":7.336030721664429},{""trajectory_result"":0.0,""latency_sec"":11.592375755310059},{""trajectory_result"":0.0,""latency_sec"":11.414365291595459},{""trajectory_result"":0.0,""latency_sec"":10.52705430984497},{""trajectory_result"":0.0,""latency_sec"":9.749071836471558},{""trajectory_result"":0.0,""latency_sec"":10.524030208587646},{""trajectory_result"":0.0,""latency_sec"":10.523035526275635},{""trajectory_result"":0.0,""latency_sec"":12.920949697494507},{""trajectory_result"":0.0,""latency_sec"":14.869741916656494},{""trajectory_result"":0.0,""latency_sec"":11.375649452209473},{""trajectory_result"":0.0,""latency_sec"":12.412104845046997}]"
10,30,200,13395,,"{""trajectory_result"":-1.3157894736842106,""latency_sec"":13.30741548538208}"
0,31,200,12611,,"{""trajectory_result"":0.0,""latency_sec"":12.447368860244751}"
6,40,200,475,,"{""trajectory_result"":0,""latency_sec"":0.4705922603607178}"
10,41,200,530,,"{""trajectory_result"":0.0,""latency_sec"":0.4618520736694336}"
11,8,200,34927,,"[{""trajectory_result"":0.0,""latency_sec"":7.9553117752075195},{""trajectory_result"":0.0,""latency_sec"":4.6353771686553955},{""trajectory_result"":0.0,""latency_sec"":6.611695289611816},{""trajectory_result"":-9.0,""latency_sec"":3.0240132808685303},{""trajectory_result"":0.0,""latency_sec"":6.02325701713562},{""trajectory_result"":0.0,""latency_sec"":12.066847801208496},{""trajectory_result"":0.0,""latency_sec"":12.053975343704224},{""trajectory_result"":0.0,""latency_sec"":7.921128749847412},{""trajectory_result"":0.0,""latency_sec"":12.429274320602417},{""trajectory_result"":0.0,""latency_sec"":12.03210186958313},{""trajectory_result"":0.0,""latency_sec"":11.575258731842041},{""trajectory_result"":0.0,""latency_sec"":34.819507122039795},{""trajectory_result"":0.0,""latency_sec"":9.850165843963623},{""trajectory_result"":0.0,""latency_sec"":12.419334888458252},{""trajectory_result"":0.0,""latency_sec"":15.951962232589722},{""trajectory_result"":0.0,""latency_sec"":22.163217544555664},{""trajectory_result"":-4.60546875,""latency_sec"":21.168724298477173},{""trajectory_result"":0.0,""latency_sec"":20.66228437423706},{""trajectory_result"":0.0,""latency_sec"":15.691939353942871},{""trajectory_result"":-9.0,""latency_sec"":16.291837692260742}]"
9,19,200,33656,,"{""trajectory_result"":0.0,""latency_sec"":33.53115487098694}"
2,37,200,13810,,"{""trajectory_result"":0.0,""latency_sec"":13.63944149017334}"
5,35,200,15795,,"[{""trajectory_result"":-9.0,""latency_sec"":4.516473054885864},{""trajectory_result"":0.0,""latency_sec"":3.2143638134002686},{""trajectory_result"":0.0,""latency_sec"":3.2132928371429443},{""trajectory_result"":0.0,""latency_sec"":5.066410541534424},{""trajectory_result"":0.0,""latency_sec"":2.985018730163574},{""trajectory_result"":0.0,""latency_sec"":6.084659099578857},{""trajectory_result"":0.0,""latency_sec"":8.981641292572021},{""trajectory_result"":0.0,""latency_sec"":4.632757902145386},{""trajectory_result"":0.0,""latency_sec"":8.197260618209839},{""trajectory_result"":0.0,""latency_sec"":14.239429950714111},{""trajectory_result"":0.0,""latency_sec"":13.244709014892578},{""trajectory_result"":0.0,""latency_sec"":8.560817956924438},{""trajectory_result"":0.0,""latency_sec"":7.3132643699646},{""trajectory_result"":0.0,""latency_sec"":14.138570308685303},{""trajectory_result"":-9.0,""latency_sec"":9.197465658187866},{""trajectory_result"":0.0,""latency_sec"":11.858447313308716},{""trajectory_result"":0.0,""latency_sec"":10.452372550964355},{""trajectory_result"":0.0,""latency_sec"":9.301257371902466},{""trajectory_result"":0.0,""latency_sec"":14.82753872871399},{""trajectory_result"":-0.5166666666666667,""latency_sec"":14.714134216308594}]"
3,38,200,14548,,"{""trajectory_result"":0.0,""latency_sec"":14.339219093322754}"
4,36,200,16613,,"{""trajectory_result"":[],""latency_sec"":15.805249452590942}"
7,39,200,12817,,"{""trajectory_result"":0,""latency_sec"":12.721789836883545}"
1,15,200,40780,,"[{""trajectory_result"":0.0,""latency_sec"":15.289602994918823},{""trajectory_result"":0.0,""latency_sec"":18.360746383666992},{""trajectory_result"":0.0,""latency_sec"":28.19564723968506},{""trajectory_result"":0.0,""latency_sec"":20.571412086486816},{""trajectory_result"":0.0,""latency_sec"":16.811264514923096},{""trajectory_result"":0.0,""latency_sec"":21.863603353500366},{""trajectory_result"":-9.0,""latency_sec"":23.135608196258545},{""trajectory_result"":0.0,""latency_sec"":25.023869514465332},{""trajectory_result"":0.0,""latency_sec"":22.839663982391357},{""trajectory_result"":0.04314214528127204,""latency_sec"":29.848968744277954},{""trajectory_result"":0.0,""latency_sec"":23.533281803131104},{""trajectory_result"":0.0,""latency_sec"":23.952526807785034},{""trajectory_result"":0.0,""latency_sec"":25.57741069793701},{""trajectory_result"":0.0,""latency_sec"":26.825059413909912},{""trajectory_result"":0.0,""latency_sec"":26.322120904922485},{""trajectory_result"":0.0,""latency_sec"":29.080271244049072},{""trajectory_result"":0.0,""latency_sec"":28.35491967201233},{""trajectory_result"":0.0,""latency_sec"":33.706281900405884},{""trajectory_result"":0.0,""latency_sec"":29.37600040435791},{""trajectory_result"":0.0,""latency_sec"":40.30388021469116}]"
8,23,200,41380,,"[{""trajectory_result"":0.0,""latency_sec"":25.34099793434143},{""trajectory_result"":0.0,""latency_sec"":25.827610969543457},{""trajectory_result"":0.0,""latency_sec"":30.97298550605774},{""trajectory_result"":0.0,""latency_sec"":28.6568443775177},{""trajectory_result"":0.0,""latency_sec"":30.032333850860596},{""trajectory_result"":0.0,""latency_sec"":32.02759075164795},{""trajectory_result"":0.0,""latency_sec"":32.02657175064087},{""trajectory_result"":0.0,""latency_sec"":33.54018712043762},{""trajectory_result"":0.0,""latency_sec"":32.51905965805054},{""trajectory_result"":0.0,""latency_sec"":37.58472490310669},{""trajectory_result"":0.3125641138889851,""latency_sec"":34.042197704315186},{""trajectory_result"":0.0,""latency_sec"":35.462711811065674},{""trajectory_result"":0.0,""latency_sec"":35.63439893722534},{""trajectory_result"":0.0,""latency_sec"":35.46060752868652},{""trajectory_result"":0.0,""latency_sec"":36.3909125328064},{""trajectory_result"":0.0,""latency_sec"":37.57251691818237},{""trajectory_result"":0.0,""latency_sec"":39.10316205024719},{""trajectory_result"":0.0,""latency_sec"":39.406100273132324},{""trajectory_result"":0.0,""latency_sec"":39.404547691345215},{""trajectory_result"":0.0,""latency_sec"":40.3735990524292}]"
