worker_id,job_id,status_code,latency_ms,error,response_body
11,11,200,384,,"{""trajectory_result"":[],""latency_sec"":0.3776843547821045}"
9,6,200,831,,"{""trajectory_result"":0.0,""latency_sec"":0.820993185043335}"
3,2,200,1486,,"{""trajectory_result"":0.0,""latency_sec"":1.4771161079406738}"
2,1,200,1856,,"{""trajectory_result"":0.0,""latency_sec"":1.8486287593841553}"
4,7,200,2696,,"{""trajectory_result"":0.0,""latency_sec"":2.683370590209961}"
10,8,200,2869,,"{""trajectory_result"":0.0,""latency_sec"":2.856657028198242}"
6,3,200,3266,,"{""trajectory_result"":[],""latency_sec"":3.2573699951171875}"
11,12,200,3159,,"{""trajectory_result"":[],""latency_sec"":3.152482032775879}"
3,14,200,2274,,"{""trajectory_result"":[],""latency_sec"":2.121279001235962}"
7,4,200,4152,,"{""trajectory_result"":[],""latency_sec"":3.6292572021484375}"
1,9,200,4341,,"{""trajectory_result"":0.0,""latency_sec"":4.1423258781433105}"
0,5,200,4356,,"{""trajectory_result"":0,""latency_sec"":4.328567981719971}"
11,19,200,11925,,"{""trajectory_result"":0,""latency_sec"":11.743010997772217}"
2,15,200,16285,,"[{""trajectory_result"":-9.0,""latency_sec"":3.2676146030426025},{""trajectory_result"":0.0,""latency_sec"":5.238246202468872},{""trajectory_result"":0.0,""latency_sec"":6.008091926574707},{""trajectory_result"":0.0,""latency_sec"":5.796104431152344},{""trajectory_result"":0.0,""latency_sec"":3.63580584526062},{""trajectory_result"":0.0,""latency_sec"":5.509186744689941},{""trajectory_result"":0.0,""latency_sec"":11.042207956314087},{""trajectory_result"":0.0,""latency_sec"":4.6093151569366455},{""trajectory_result"":0.0,""latency_sec"":5.951517105102539},{""trajectory_result"":0.0,""latency_sec"":6.441220998764038},{""trajectory_result"":0.0,""latency_sec"":11.07457947731018},{""trajectory_result"":0.0,""latency_sec"":12.63962173461914},{""trajectory_result"":0.0,""latency_sec"":11.127597332000732},{""trajectory_result"":0.0,""latency_sec"":7.113065004348755},{""trajectory_result"":0.0,""latency_sec"":10.932511329650879},{""trajectory_result"":0.0,""latency_sec"":10.931442260742188},{""trajectory_result"":0.0,""latency_sec"":11.437952756881714},{""trajectory_result"":0.0,""latency_sec"":11.974867820739746},{""trajectory_result"":0.0,""latency_sec"":15.820103168487549},{""trajectory_result"":-9.0,""latency_sec"":14.129632472991943}]"
3,20,200,14274,,"{""trajectory_result"":[],""latency_sec"":14.23194694519043}"
11,24,200,3967,,"{""trajectory_result"":151.1000006645918,""latency_sec"":3.9578394889831543}"
2,25,200,2178,,"{""trajectory_result"":0.0,""latency_sec"":2.1204476356506348}"
11,27,200,1941,,"{""trajectory_result"":0,""latency_sec"":0.9787540435791016}"
3,26,200,3241,,"{""trajectory_result"":0.0,""latency_sec"":3.1539087295532227}"
2,28,200,2008,,"{""trajectory_result"":0.0,""latency_sec"":2.0019218921661377}"
11,29,200,1107,,"{""trajectory_result"":0,""latency_sec"":0.993736743927002}"
8,10,200,22960,,"[{""trajectory_result"":0.0,""latency_sec"":4.518569707870483},{""trajectory_result"":0.0,""latency_sec"":6.625766277313232},{""trajectory_result"":0.0,""latency_sec"":7.316234588623047},{""trajectory_result"":0.0,""latency_sec"":8.362823963165283},{""trajectory_result"":0.0,""latency_sec"":14.579459428787231},{""trajectory_result"":0.0,""latency_sec"":8.0309898853302},{""trajectory_result"":0.0,""latency_sec"":7.741911888122559},{""trajectory_result"":0.0,""latency_sec"":12.279737710952759},{""trajectory_result"":0.0,""latency_sec"":7.292741298675537},{""trajectory_result"":0.0,""latency_sec"":11.695866107940674},{""trajectory_result"":0.0,""latency_sec"":10.324308395385742},{""trajectory_result"":0.0,""latency_sec"":15.50499701499939},{""trajectory_result"":0.0,""latency_sec"":10.690152645111084},{""trajectory_result"":0.0,""latency_sec"":13.668704986572266},{""trajectory_result"":0.0,""latency_sec"":13.667471408843994},{""trajectory_result"":0.0,""latency_sec"":13.78060269355774},{""trajectory_result"":0.0,""latency_sec"":15.112119913101196},{""trajectory_result"":0.0,""latency_sec"":17.26631212234497},{""trajectory_result"":0.0,""latency_sec"":16.622381925582886},{""trajectory_result"":0.0,""latency_sec"":22.84388494491577}]"
3,30,200,1309,,"{""trajectory_result"":0.0,""latency_sec"":0.8196401596069336}"
2,31,200,1229,,"{""trajectory_result"":0.0,""latency_sec"":1.09968900680542}"
11,32,200,3703,,"{""trajectory_result"":0.0,""latency_sec"":3.3690080642700195}"
4,16,200,24942,,"{""trajectory_result"":0.0,""latency_sec"":24.827282428741455}"
9,13,200,30447,,"{""trajectory_result"":0.0,""latency_sec"":30.341370344161987}"
10,17,200,30416,,"{""trajectory_result"":0.0,""latency_sec"":30.165640592575073}"
5,0,200,35073,,"[{""trajectory_result"":0.0,""latency_sec"":17.003147840499878},{""trajectory_result"":0.0,""latency_sec"":19.257781505584717},{""trajectory_result"":0.015698587361085734,""latency_sec"":22.830472707748413},{""trajectory_result"":0.0,""latency_sec"":20.625138759613037},{""trajectory_result"":0.0,""latency_sec"":28.282936573028564},{""trajectory_result"":0.0,""latency_sec"":20.24685001373291},{""trajectory_result"":0.0,""latency_sec"":18.883533716201782},{""trajectory_result"":0.022864652114691464,""latency_sec"":23.35458779335022},{""trajectory_result"":0.0,""latency_sec"":23.549564361572266},{""trajectory_result"":0.0,""latency_sec"":21.69291090965271},{""trajectory_result"":0.0,""latency_sec"":25.60466718673706},{""trajectory_result"":0.0,""latency_sec"":25.60357975959778},{""trajectory_result"":0.0,""latency_sec"":25.59935164451599},{""trajectory_result"":0.0,""latency_sec"":25.584332942962646},{""trajectory_result"":0.0,""latency_sec"":26.291648387908936},{""trajectory_result"":0.006752730984436839,""latency_sec"":32.362613916397095},{""trajectory_result"":0.0,""latency_sec"":33.28904581069946},{""trajectory_result"":0.0,""latency_sec"":29.81194829940796},{""trajectory_result"":0.0,""latency_sec"":34.84856152534485},{""trajectory_result"":0.0,""latency_sec"":27.43368363380432}]"
2,35,200,12331,,"{""trajectory_result"":0,""latency_sec"":12.286292314529419}"
3,34,200,13774,,"[{""trajectory_result"":0.0,""latency_sec"":5.6128833293914795},{""trajectory_result"":0.0,""latency_sec"":4.161216735839844},{""trajectory_result"":0.0,""latency_sec"":5.4570229053497314},{""trajectory_result"":0.0,""latency_sec"":0.47872328758239746},{""trajectory_result"":0.0,""latency_sec"":5.454836130142212},{""trajectory_result"":0.0,""latency_sec"":6.311651706695557},{""trajectory_result"":0.0,""latency_sec"":5.025530099868774},{""trajectory_result"":0.0,""latency_sec"":5.188463926315308},{""trajectory_result"":0.0,""latency_sec"":9.954257488250732},{""trajectory_result"":0.0,""latency_sec"":7.0688722133636475},{""trajectory_result"":0.0,""latency_sec"":11.225526332855225},{""trajectory_result"":-5.795811518324608,""latency_sec"":7.362669467926025},{""trajectory_result"":0.0,""latency_sec"":6.996764659881592},{""trajectory_result"":0.0,""latency_sec"":11.061650037765503},{""trajectory_result"":0.0,""latency_sec"":9.192090272903442},{""trajectory_result"":0.0,""latency_sec"":7.503123998641968},{""trajectory_result"":0.0,""latency_sec"":8.17039704322815},{""trajectory_result"":0.0,""latency_sec"":13.077662944793701},{""trajectory_result"":0.0,""latency_sec"":12.157827854156494},{""trajectory_result"":0.0,""latency_sec"":13.075583219528198}]"
11,36,200,10813,,"{""trajectory_result"":0.0,""latency_sec"":10.682923793792725}"
2,41,200,2412,,"{""trajectory_result"":0.0,""latency_sec"":2.352691411972046}"
1,22,200,38771,,"{""trajectory_result"":0,""latency_sec"":38.737452030181885}"
6,18,200,40227,,"[{""trajectory_result"":0.0,""latency_sec"":28.88114643096924},{""trajectory_result"":0.0,""latency_sec"":28.370293378829956},{""trajectory_result"":0.0,""latency_sec"":31.291992664337158},{""trajectory_result"":0.0,""latency_sec"":31.58739185333252},{""trajectory_result"":0.0,""latency_sec"":31.141658544540405},{""trajectory_result"":0.0,""latency_sec"":36.85883164405823},{""trajectory_result"":0.0,""latency_sec"":32.45297861099243},{""trajectory_result"":0.0,""latency_sec"":38.68461227416992},{""trajectory_result"":0.0,""latency_sec"":33.3037805557251},{""trajectory_result"":0.0,""latency_sec"":33.966179847717285},{""trajectory_result"":0.0,""latency_sec"":37.17619872093201},{""trajectory_result"":-6.449511400651466,""latency_sec"":34.290820837020874},{""trajectory_result"":0.0,""latency_sec"":32.2725670337677},{""trajectory_result"":0.0,""latency_sec"":32.97474193572998},{""trajectory_result"":0.0,""latency_sec"":38.351890087127686},{""trajectory_result"":0.0,""latency_sec"":35.97926664352417},{""trajectory_result"":0.0,""latency_sec"":37.73480796813965},{""trajectory_result"":0.0,""latency_sec"":39.40118098258972},{""trajectory_result"":0.0,""latency_sec"":38.34757709503174},{""trajectory_result"":0.0,""latency_sec"":38.54341650009155}]"
7,21,200,43044,,"{""trajectory_result"":0.0,""latency_sec"":42.84199237823486}"
8,33,200,39621,,"{""trajectory_result"":[],""latency_sec"":38.851757764816284}"
4,37,200,43504,,"{""trajectory_result"":0.0,""latency_sec"":43.48877310752869}"
