worker_id,job_id,status_code,latency_ms,error,response_body
4,8,200,825,,"{""trajectory_result"":0.0,""latency_sec"":0.8116259574890137}"
6,2,200,1584,,"{""trajectory_result"":0,""latency_sec"":1.5569372177124023}"
10,10,200,1893,,"{""trajectory_result"":0.0,""latency_sec"":1.8821163177490234}"
5,0,200,6001,,"{""trajectory_result"":0.0,""latency_sec"":5.984023571014404}"
1,5,200,7033,,"{""trajectory_result"":0,""latency_sec"":6.650790214538574}"
9,7,200,8208,,"{""trajectory_result"":0.0,""latency_sec"":8.177727699279785}"
3,4,200,9519,,"{""trajectory_result"":7.600000113248825,""latency_sec"":9.40655517578125}"
2,1,200,10312,,"{""trajectory_result"":0,""latency_sec"":10.27623438835144}"
0,3,200,16327,,"[{""trajectory_result"":0.0,""latency_sec"":0.4121420383453369},{""trajectory_result"":0.0,""latency_sec"":6.866477727890015},{""trajectory_result"":0.0,""latency_sec"":2.121140956878662},{""trajectory_result"":0.0,""latency_sec"":1.5470821857452393},{""trajectory_result"":0.0,""latency_sec"":4.021433591842651},{""trajectory_result"":0.0,""latency_sec"":3.17812442779541},{""trajectory_result"":0.0,""latency_sec"":0.8155207633972168},{""trajectory_result"":0.0,""latency_sec"":6.509852170944214},{""trajectory_result"":0.0,""latency_sec"":3.1746766567230225},{""trajectory_result"":1.140553001709248,""latency_sec"":5.397175312042236},{""trajectory_result"":0.0,""latency_sec"":13.052979946136475},{""trajectory_result"":0.0,""latency_sec"":4.011299133300781},{""trajectory_result"":0.0,""latency_sec"":10.544841527938843},{""trajectory_result"":0.0,""latency_sec"":10.905092477798462},{""trajectory_result"":0.0,""latency_sec"":7.146584510803223},{""trajectory_result"":0.0794392535201857,""latency_sec"":6.186419486999512},{""trajectory_result"":0.0,""latency_sec"":7.936895847320557},{""trajectory_result"":0.0,""latency_sec"":11.72590947151184},{""trajectory_result"":0.0,""latency_sec"":16.19276261329651},{""trajectory_result"":0.0,""latency_sec"":14.881290197372437}]"
8,9,200,25813,,"[{""trajectory_result"":0.0,""latency_sec"":3.551988363265991},{""trajectory_result"":0.0,""latency_sec"":4.8203794956207275},{""trajectory_result"":-9.0,""latency_sec"":4.562944412231445},{""trajectory_result"":0.0,""latency_sec"":8.086129188537598},{""trajectory_result"":0.0,""latency_sec"":9.631255865097046},{""trajectory_result"":0.01628498752001891,""latency_sec"":10.823525190353394},{""trajectory_result"":0.0,""latency_sec"":9.122389793395996},{""trajectory_result"":0.0,""latency_sec"":8.647845029830933},{""trajectory_result"":0.0,""latency_sec"":14.57547664642334},{""trajectory_result"":0.0,""latency_sec"":10.611287117004395},{""trajectory_result"":0.0,""latency_sec"":18.449059009552002},{""trajectory_result"":0.023694030203814827,""latency_sec"":14.570894241333008},{""trajectory_result"":0.0,""latency_sec"":12.795866250991821},{""trajectory_result"":0.0,""latency_sec"":15.281073331832886},{""trajectory_result"":0.0,""latency_sec"":13.98238730430603},{""trajectory_result"":0.0,""latency_sec"":14.715026617050171},{""trajectory_result"":0.0,""latency_sec"":21.496856689453125},{""trajectory_result"":0.0,""latency_sec"":15.337531089782715},{""trajectory_result"":0.0,""latency_sec"":25.646451473236084},{""trajectory_result"":0.0,""latency_sec"":16.097676515579224}]"
