worker_id,job_id,status_code,latency_ms,error,response_body
2,1,200,498,,0.0
1,0,200,506,,0.0
0,2,200,507,,0.0
3,3,200,612,,0.0
2,4,200,655,,0.0
1,5,200,1376,,0.0
3,7,200,1468,,0.0
2,8,200,1337,,0.0
0,6,200,2219,,0.0
3,10,200,648,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
2,11,200,546,,0.1
3,13,200,545,,0.0
2,14,200,488,,0.0
3,15,200,1464,,0.0
3,17,200,509,,0.0
3,18,200,1400,,0.0
3,19,200,913,,0.0
3,20,200,582,,0.020000000298023225
3,21,200,472,,0.0
3,22,200,1280,,0.0
3,23,200,526,,"[false,false,false,false,false,false,false,false,false,false]"
3,24,200,813,,0.0
3,25,200,741,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
3,26,200,640,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
1,9,200,10853,,"""0 0 0.104761906145584 0 0 0 0 0.03200000047683716 0 0 0 0 0 0 0 0 0 0 0 0"""
3,27,200,563,,"[false,false,false,false,false,false,false,false,false,false,false,false,false]"
2,16,200,9816,,"""0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0"""
3,29,200,608,,0.0
2,30,200,606,,0.0
0,12,200,11384,,"""0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 -9 0 0 0"""
2,32,200,476,,0.0
3,31,200,1195,,0.0
3,35,200,704,,0.04516129123587762
3,36,200,482,,"[false,false,false,false,false,false]"
3,37,200,527,,0.0
0,33,500,2785,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(49959 27 13,49959 27 13) ))  FROM DWD_5min_4326 AS c'. Reason: GRPC Exception, status code: UNAVAILABLE, description: Network closed for unknown reason</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
3,38,200,3506,,0.0
0,39,200,6332,,0.0
3,40,200,3356,,"[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]"
1,28,500,11495,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(49766 33 19,49766 33 19) ))  FROM DWD_5min_4326 AS c'. Reason: std::bad_array_new_length</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
0,41,500,2978,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?>
<ows:ExceptionReport version=""2.0.1""
    xsi:schemaLocation=""http://www.opengis.net/ows/2.0 http://schemas.opengis.net/ows/2.0/owsExceptionReport.xsd""
    xmlns:ows=""http://www.opengis.net/ows/2.0"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
    <ows:Exception exceptionCode=""RasdamanRequestFailed"" >
        <ows:ExceptionText>Error querying rasdaman with rasql 'Select sdom(clip( c, LINESTRING(31193 33 16,31193 33 16) ))  FROM DWD_5min_4326 AS c'. Reason: GRPC Exception, status code: UNAVAILABLE, description: Network closed for unknown reason</ows:ExceptionText>
    </ows:Exception>
</ows:ExceptionReport>
"
2,34,200,16644,,"""0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02727272767912258 0 0 0"""
