worker_id,job_id,status_code,latency_ms,error,response_body
0,2,200,782,,"{""trajectory_result"":0.0,""latency_sec"":0.7723221778869629}"
1,0,200,1563,,"{""trajectory_result"":0.0,""latency_sec"":1.5475213527679443}"
3,3,200,1643,,"{""trajectory_result"":0.0,""latency_sec"":1.6281423568725586}"
2,1,200,2363,,"{""trajectory_result"":0.0,""latency_sec"":2.3512585163116455}"
0,4,200,2434,,"{""trajectory_result"":0.0,""latency_sec"":1.7024881839752197}"
1,5,200,8874,,"{""trajectory_result"":0.0,""latency_sec"":8.814800024032593}"
2,7,200,10905,,"{""trajectory_result"":0,""latency_sec"":10.90115237236023}"
3,6,200,14083,,"[{""trajectory_result"":0.0,""latency_sec"":2.709277868270874},{""trajectory_result"":0.0,""latency_sec"":8.850215673446655},{""trajectory_result"":0.0,""latency_sec"":1.5675814151763916},{""trajectory_result"":0.0,""latency_sec"":2.5407156944274902},{""trajectory_result"":0.0,""latency_sec"":0.9422805309295654},{""trajectory_result"":0.0,""latency_sec"":0.31792402267456055},{""trajectory_result"":0.0,""latency_sec"":3.094259262084961},{""trajectory_result"":0.0,""latency_sec"":4.0413429737091064},{""trajectory_result"":0.0,""latency_sec"":8.454640626907349},{""trajectory_result"":0.0,""latency_sec"":4.334225416183472},{""trajectory_result"":0.0,""latency_sec"":8.276371479034424},{""trajectory_result"":0.0,""latency_sec"":5.388382434844971},{""trajectory_result"":0.0,""latency_sec"":7.004913091659546},{""trajectory_result"":0.0,""latency_sec"":11.61500096321106},{""trajectory_result"":0.0,""latency_sec"":9.9715416431427},{""trajectory_result"":0.0,""latency_sec"":13.384913682937622},{""trajectory_result"":0.0,""latency_sec"":9.088359594345093},{""trajectory_result"":0.0,""latency_sec"":12.598776817321777},{""trajectory_result"":0.0,""latency_sec"":12.595203399658203},{""trajectory_result"":0.0,""latency_sec"":10.34789490699768}]"
1,9,200,6188,,"{""trajectory_result"":0.0,""latency_sec"":5.657113552093506}"
0,8,200,14294,,"{""trajectory_result"":0.0,""latency_sec"":14.149145364761353}"
3,11,200,12907,,"{""trajectory_result"":0,""latency_sec"":12.526654958724976}"
3,14,200,3254,,"{""trajectory_result"":0.0,""latency_sec"":3.2162485122680664}"
1,12,200,15544,,"{""trajectory_result"":0.0,""latency_sec"":14.739185810089111}"
0,13,200,14697,,"{""trajectory_result"":0.0,""latency_sec"":14.673075199127197}"
2,10,200,19066,,"[{""trajectory_result"":0.0,""latency_sec"":5.147029399871826},{""trajectory_result"":0.0,""latency_sec"":1.8714075088500977},{""trajectory_result"":0.0,""latency_sec"":2.8991596698760986},{""trajectory_result"":0.0,""latency_sec"":5.040611982345581},{""trajectory_result"":0.0,""latency_sec"":5.5802223682403564},{""trajectory_result"":0.0,""latency_sec"":6.7853052616119385},{""trajectory_result"":0.0,""latency_sec"":4.358844757080078},{""trajectory_result"":0.0,""latency_sec"":8.231783390045166},{""trajectory_result"":0.0,""latency_sec"":4.918794631958008},{""trajectory_result"":0.0,""latency_sec"":14.346422672271729},{""trajectory_result"":0.0,""latency_sec"":7.9452526569366455},{""trajectory_result"":-2.354651162790698,""latency_sec"":7.94426965713501},{""trajectory_result"":0.0,""latency_sec"":11.317835807800293},{""trajectory_result"":0.0,""latency_sec"":9.029419183731079},{""trajectory_result"":0.0,""latency_sec"":9.640547275543213},{""trajectory_result"":0.033669609581161414,""latency_sec"":15.04318881034851},{""trajectory_result"":0.0,""latency_sec"":9.269080638885498},{""trajectory_result"":0.0,""latency_sec"":17.433573484420776},{""trajectory_result"":0.0,""latency_sec"":16.14854335784912},{""trajectory_result"":0.0,""latency_sec"":14.125542163848877}]"
3,15,200,523,,"{""trajectory_result"":0.0,""latency_sec"":0.515979528427124}"
1,16,200,763,,"{""trajectory_result"":0.0,""latency_sec"":0.7395575046539307}"
0,17,200,1901,,"{""trajectory_result"":0.0,""latency_sec"":1.852477788925171}"
2,18,200,2259,,"{""trajectory_result"":0.0,""latency_sec"":2.243215799331665}"
2,22,200,15170,,"{""trajectory_result"":0,""latency_sec"":14.772029161453247}"
1,20,200,16668,,"{""trajectory_result"":[],""latency_sec"":16.44328260421753}"
0,21,200,16481,,"{""trajectory_result"":0,""latency_sec"":15.953169822692871}"
3,19,200,18007,,"[{""trajectory_result"":0.0,""latency_sec"":4.892522811889648},{""trajectory_result"":0.0,""latency_sec"":3.444303274154663},{""trajectory_result"":0.0,""latency_sec"":3.9594993591308594},{""trajectory_result"":0.0,""latency_sec"":1.9140143394470215},{""trajectory_result"":0.0,""latency_sec"":2.2584519386291504},{""trajectory_result"":0.0,""latency_sec"":1.9121325016021729},{""trajectory_result"":0.20887097566118162,""latency_sec"":4.058882474899292},{""trajectory_result"":0.0,""latency_sec"":5.778812408447266},{""trajectory_result"":0.0,""latency_sec"":4.884572505950928},{""trajectory_result"":0.0,""latency_sec"":2.745271921157837},{""trajectory_result"":-0.5037821482602118,""latency_sec"":17.749016523361206},{""trajectory_result"":0.0,""latency_sec"":17.747571229934692},{""trajectory_result"":0.0,""latency_sec"":11.802370071411133},{""trajectory_result"":0.0,""latency_sec"":6.843328952789307},{""trajectory_result"":0.0,""latency_sec"":6.2821691036224365},{""trajectory_result"":0.0,""latency_sec"":9.754981756210327},{""trajectory_result"":0.0,""latency_sec"":6.4051902294158936},{""trajectory_result"":0.0,""latency_sec"":14.454950094223022},{""trajectory_result"":0.0,""latency_sec"":9.751720666885376},{""trajectory_result"":0.0,""latency_sec"":11.794328451156616}]"
1,24,200,1874,,"{""trajectory_result"":0,""latency_sec"":0.9634971618652344}"
2,23,200,6682,,"{""trajectory_result"":[],""latency_sec"":5.688594341278076}"
3,26,200,13582,,"{""trajectory_result"":0.0,""latency_sec"":13.576420068740845}"
0,25,200,13783,,"[{""trajectory_result"":0.0,""latency_sec"":8.619565725326538},{""trajectory_result"":0.0,""latency_sec"":2.02778697013855},{""trajectory_result"":0.0,""latency_sec"":2.026789665222168},{""trajectory_result"":0.0,""latency_sec"":3.187530279159546},{""trajectory_result"":0.0,""latency_sec"":2.0246617794036865},{""trajectory_result"":0.0,""latency_sec"":3.0801830291748047},{""trajectory_result"":0.10632022630339594,""latency_sec"":8.362265586853027},{""trajectory_result"":0.0,""latency_sec"":4.025221347808838},{""trajectory_result"":0.0,""latency_sec"":4.521505355834961},{""trajectory_result"":0.0,""latency_sec"":8.205334424972534},{""trajectory_result"":0.0,""latency_sec"":5.0143797397613525},{""trajectory_result"":0.0,""latency_sec"":10.772828578948975},{""trajectory_result"":0.0,""latency_sec"":5.558252573013306},{""trajectory_result"":0.0,""latency_sec"":9.157064199447632},{""trajectory_result"":0.0,""latency_sec"":11.772056818008423},{""trajectory_result"":0.0,""latency_sec"":11.770953178405762},{""trajectory_result"":0.0,""latency_sec"":11.250623226165771},{""trajectory_result"":0.0,""latency_sec"":13.080329179763794},{""trajectory_result"":0.0,""latency_sec"":12.685492515563965},{""trajectory_result"":0.0,""latency_sec"":13.750710248947144}]"
2,28,200,8854,,"{""trajectory_result"":[],""latency_sec"":8.142500638961792}"
1,27,200,14171,,"{""trajectory_result"":[],""latency_sec"":14.153380155563354}"
3,29,200,1787,,"{""trajectory_result"":0.0,""latency_sec"":1.7831783294677734}"
2,31,200,1050,,"{""trajectory_result"":-9.0,""latency_sec"":0.9145455360412598}"
1,32,200,2189,,"{""trajectory_result"":[],""latency_sec"":2.042649269104004}"
0,30,200,3722,,"{""trajectory_result"":[],""latency_sec"":3.6539390087127686}"
3,33,200,2626,,"{""trajectory_result"":0.0,""latency_sec"":2.5947258472442627}"
0,36,200,2719,,"{""trajectory_result"":[],""latency_sec"":2.6614174842834473}"
2,34,200,4995,,"{""trajectory_result"":0.0,""latency_sec"":4.8484930992126465}"
3,37,200,12745,,"{""trajectory_result"":0,""latency_sec"":12.692017555236816}"
1,35,200,14797,,"[{""trajectory_result"":0.0,""latency_sec"":10.872414827346802},{""trajectory_result"":0.0,""latency_sec"":3.674575090408325},{""trajectory_result"":0.0,""latency_sec"":2.298051595687866},{""trajectory_result"":0.0,""latency_sec"":2.386580228805542},{""trajectory_result"":0.0,""latency_sec"":2.2925949096679688},{""trajectory_result"":0.0,""latency_sec"":2.2910308837890625},{""trajectory_result"":0.0,""latency_sec"":4.727215528488159},{""trajectory_result"":0.0,""latency_sec"":6.685566186904907},{""trajectory_result"":0.0,""latency_sec"":7.386849641799927},{""trajectory_result"":0.0,""latency_sec"":3.402360677719116},{""trajectory_result"":0.0,""latency_sec"":4.307270765304565},{""trajectory_result"":0.0,""latency_sec"":7.382052421569824},{""trajectory_result"":0.0,""latency_sec"":9.637564420700073},{""trajectory_result"":-9.0,""latency_sec"":7.3787901401519775},{""trajectory_result"":0.0,""latency_sec"":14.02039122581482},{""trajectory_result"":0.0,""latency_sec"":10.842004299163818},{""trajectory_result"":0.0,""latency_sec"":11.52707839012146},{""trajectory_result"":0.0,""latency_sec"":11.525631666183472},{""trajectory_result"":0.0,""latency_sec"":8.339922189712524},{""trajectory_result"":0.0,""latency_sec"":11.916158676147461}]"
2,39,200,23413,,"{""trajectory_result"":-1395.0,""latency_sec"":23.40239953994751}"
